Event ID,Start Time (UTC),Start Time (Local Pacific),End Time (UTC),End Time (Local Pacific),Duration (s),Dominant Frequency (Hz),Frequency Stddev (Hz),"SPI (peak, counts)","SPI (mean, counts)","SPI (peak, Pa)","SPI (mean, Pa)",Amplitude (peak dB SPL),Amplitude (mean dB SPL),Waveform Type,Mechanical Signature,Impulse/Pressure Event,Distrubance Energy Prominence,Distrubance Energy Concentration,Distrubance-Candidate,Event Discrimination
4,2025-07-18 22:01:29,2025-07-18 15:01:29,2025-07-18 22:01:59,2025-07-18 15:01:59,29.980771430145516,5.37,0.01667735605686449,132.0,25.355997,0.132,0.025355998,76.39088,62.061012,clustered,False,False,True,True,True,disturbance-candidate
2,2025-07-11 21:00:29,2025-07-11 14:00:29,2025-07-11 21:00:59,2025-07-11 14:00:59,29.980771430145516,12.84,0.0166773560568636,144.0,31.88839,0.14400001,0.03188839,77.14665,64.052055,clustered,False,False,True,True,True,disturbance-candidate
46,2025-07-29 20:37:22,2025-07-29 13:37:22,2025-07-29 20:37:52,2025-07-29 13:37:52,29.980771430145516,5.07,0.01667735605686449,146.0,20.972418,0.14600001,0.02097242,77.26646,60.41237,clustered,False,False,True,True,True,disturbance-candidate
7,2025-07-28 09:03:32,2025-07-28 02:03:32,2025-07-28 09:04:02,2025-07-28 02:04:02,29.980771430145516,12.57,0.36313863804623975,148.0,32.73637,0.148,0.032736372,77.384636,64.28001,clustered,False,False,True,True,True,disturbance-candidate
39,2025-07-28 19:37:57,2025-07-28 12:37:57,2025-07-28 19:38:27,2025-07-28 12:38:27,29.980771430145516,12.47,0.01667735605686449,418.0,89.66132,0.418,0.08966133,86.40293,73.0315,clustered,False,False,True,True,True,disturbance-candidate
10,2025-07-17 09:22:25,2025-07-17 02:22:25,2025-07-17 09:22:55,2025-07-17 02:22:55,29.980771430145516,4.8,0.2574058049120284,94.0,25.843489,0.094000004,0.02584349,73.441956,62.226425,clustered,False,False,True,True,True,disturbance-candidate
17,2025-07-17 06:13:39,2025-07-16 23:13:39,2025-07-17 06:14:09,2025-07-16 23:14:09,29.980771430145516,4.84,0.49042487071391727,98.0,24.63374,0.098000005,0.024633741,73.803925,61.810005,clustered,False,False,True,True,True,disturbance-candidate
1,2025-07-10 19:00:00,2025-07-10 12:00:00,2025-07-10 19:00:29,2025-07-10 12:00:29,29.995128664747998,7.37,0.01666937340354302,88.0,28.607166,0.08800001,0.028607167,72.86905,63.1089,clustered,False,False,True,True,True,disturbance-candidate
2,2025-07-10 19:00:29,2025-07-10 12:00:29,2025-07-10 19:00:59,2025-07-10 12:00:59,29.995128664747998,7.37,0.0,80.0,26.376547,0.080000006,0.026376547,72.0412,62.40376,clustered,False,False,True,True,True,disturbance-candidate
3,2025-07-10 19:00:59,2025-07-10 12:00:59,2025-07-10 19:01:29,2025-07-10 12:01:29,29.995128664747998,7.37,0.01666937340354302,146.0,28.61759,0.14600001,0.02861759,77.26646,63.112064,clustered,False,False,True,True,True,disturbance-candidate
4,2025-07-10 19:01:29,2025-07-10 12:01:29,2025-07-10 19:01:59,2025-07-10 12:01:59,29.995128664747998,7.37,0.0,84.0,24.956352,0.08400001,0.024956353,72.46499,61.923023,clustered,False,False,True,True,True,disturbance-candidate
5,2025-07-10 19:01:59,2025-07-10 12:01:59,2025-07-10 19:02:29,2025-07-10 12:02:29,29.995128664747998,7.37,0.027220972780400896,94.0,27.15179,0.094000004,0.027151791,73.441956,62.655373,clustered,False,False,True,True,True,disturbance-candidate
13,2025-07-10 19:06:12,2025-07-10 12:06:12,2025-07-10 19:06:42,2025-07-10 12:06:42,29.995128664747998,7.37,0.01666937340354302,92.0,25.38241,0.09200001,0.02538241,73.25516,62.07006,clustered,False,False,True,True,True,disturbance-candidate
14,2025-07-10 19:06:42,2025-07-10 12:06:42,2025-07-10 19:07:12,2025-07-10 12:07:12,29.995128664747998,7.37,0.01666937340354302,146.0,29.906189,0.14600001,0.029906191,77.26646,63.49462,clustered,False,False,True,True,True,disturbance-candidate
85,2025-07-10 19:42:49,2025-07-10 12:42:49,2025-07-10 19:43:19,2025-07-10 12:43:19,29.995128664747998,7.37,0.01666937340354302,100.0,23.51531,0.1,0.023515312,73.9794,61.406418,clustered,False,False,True,True,True,disturbance-candidate
86,2025-07-10 19:43:19,2025-07-10 12:43:19,2025-07-10 19:43:49,2025-07-10 12:43:49,29.995128664747998,7.37,0.01666937340354302,114.0,24.041695,0.11400001,0.024041696,75.1175,61.5987,clustered,False,False,True,True,True,disturbance-candidate
2,2025-07-10 18:00:29,2025-07-10 11:00:29,2025-07-10 18:00:59,2025-07-10 11:00:59,29.99978056901918,12.57,0.03333357714731733,94.0,21.576452,0.094000004,0.021576453,73.441956,60.659004,clustered,False,False,True,True,True,disturbance-candidate
12,2025-07-30 09:48:14,2025-07-30 02:48:14,2025-07-30 09:48:44,2025-07-30 02:48:44,29.980771430145516,12.81,0.027234008398688316,80.0,20.025658,0.080000006,0.02002566,72.0412,60.01114,clustered,False,False,True,True,True,disturbance-candidate
12,2025-07-15 20:05:28,2025-07-15 13:05:28,2025-07-15 20:05:58,2025-07-15 13:05:58,29.980771430145516,13.34,0.01667735605686449,190.0,27.241821,0.19000001,0.027241822,79.554474,62.684128,clustered,False,False,True,True,True,disturbance-candidate
13,2025-07-15 20:05:58,2025-07-15 13:05:58,2025-07-15 20:06:28,2025-07-15 13:06:28,29.980771430145516,13.34,0.027234008398687594,126.0,28.21424,0.126,0.02821424,75.98681,62.98877,clustered,False,False,True,True,True,disturbance-candidate
15,2025-07-15 20:06:58,2025-07-15 13:06:58,2025-07-15 20:07:28,2025-07-15 13:07:28,29.980771430145516,13.34,0.0166773560568636,82.0,22.758179,0.082,0.02275818,72.25568,61.12215,clustered,False,False,True,True,True,disturbance-candidate
2,2025-07-12 03:00:35,2025-07-11 20:00:35,2025-07-12 03:00:37,2025-07-11 20:00:37,1.9807693760776062,7.57,3.761289216804799,358.0,32.699028,0.358,0.03269903,85.05706,64.270096,pulse,True,True,True,False,False,pressure/impulse
